locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_02278	NGFG_02278	gene	ribonuclease 3	rnc	NMB0686	gene	ribonuclease III
NGFG_00396	NGFG_00396	gene	GTPase Era		NMB0687	gene	GTPase Era
NGFG_02279	NGFG_02279	gene	hypothetical protein	lbpB	NMB1541	gene	lactoferrin-binding protein LbpB
NGFG_00398	NGFG_00398	gene	lactoferrin binding protein B	lbpB	NMB1541	gene	lactoferrin-binding protein LbpB
NGFG_00400	NGFG_00400	gene	lactoferrin-binding protein A		NMB1540	gene	lactoferrin/transferrin-binding protein LbpA
NGFG_00401	NGFG_00401	gene	N-(5'-phosphoribosyl)anthranilate isomerase		NMB0688	gene	phosphoribosylanthranilate isomerase
NGFG_00402	NGFG_00402	gene	transcription elongation factor greB	greB	NMB0689	gene	transcription elongation factor GreB
NGFG_00403	NGFG_00403	gene	amidophosphoribosyltransferase	purF	NMB0690	gene	amidophosphoribosyltransferase
NGFG_00405	NGFG_00405	gene	colicin V production membrane protein		NMB0691	gene	CvpA family protein
NGFG_00406	NGFG_00406	gene	cell division protein FtsN	ftsN	NMB0692	gene	cell division protein FtsN
NGFG_00407	NGFG_00407	gene	FolC protein	folC	NMB0693	gene	bifunctional tetrahydrofolate synthase/dihydrofolate synthase
NGFG_00408	NGFG_00408	gene	transcriptional regulator FolI		NMB0694	gene	transcriptional regulator FolI
NGFG_00409	NGFG_00409	gene	hypothetical protein		NMB0695	gene	hypothetical protein
NGFG_00410	NGFG_00410	gene	polar amino acid ABC transporter ATP-binding protein		NMB0696	gene	amino acid ABC transporter ATP-binding protein
NGFG_00411	NGFG_00411	gene	hypothetical protein				
NGFG_00412	NGFG_00412	gene	hypothetical protein				
NGFG_00413	NGFG_00413	gene	ribosomal RNA small subunit methyltransferase A	rsmA	NMB0697	gene	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
NGFG_00414	NGFG_00414	gene	hypothetical protein		NMB0698	gene	DNA glycosylase
NGFG_00415	NGFG_00415	gene	tryptophan synthase beta chain	trpB	NMB0699	gene	tryptophan synthase subunit beta
NGFG_00416	NGFG_00416	gene	IgA-specific serine endopeptidase autotransporter	iga	NMB0700	gene	IgA-specific serine endopeptidase autotransporter
NGFG_00417	NGFG_00417	gene	competence protein ComA		NMB0702	gene	DNA internalization-related competence protein ComEC/Rec2
NGFG_00418	NGFG_00418	gene	competence lipoprotein ComL		NMB0703	gene	outer membrane protein assembly factor BamD
NGFG_00419	NGFG_00419	gene	ribosomal large subunit pseudouridine synthase D	rluD	NMB0704	gene	23S rRNA pseudouridine(1911/1915/1917) synthase RluD
NGFG_00420	NGFG_00420	pseudogene			NMB0705	gene	bile acid:sodium symporter family protein
NGFG_00422	NGFG_00422	gene	hypothetical protein	pgeF	NMB0706	gene	peptidoglycan editing factor PgeF
NGFG_00423	NGFG_00423	gene	rare lipoprotein B		NMB0707	gene	hypothetical protein
NGFG_00424	NGFG_00424	gene	DNA polymerase III%2C delta subunit		NMB0708	gene	DNA polymerase III subunit delta
NGFG_00425	NGFG_00425	gene	hypothetical protein		NMB0709	gene	hypothetical protein
NGFG_00426	NGFG_00426	gene	RDD family protein		NMB0710	gene	RDD family protein
NGFG_00427	NGFG_00427	gene	hypothetical protein		NMB0711	gene	YicC family protein
NGFG_00428	NGFG_00428	gene	UPF0114 protein				
NGFG_00429	NGFG_00429	gene	hypothetical protein				
NGFG_00430	NGFG_00430	gene	alternative sigma factor RpoH	rpoH	NMB0712	gene	RNA polymerase sigma factor RpoH
NGFG_00432	NGFG_00432	gene	apolipoprotein N-acyltransferase	lnt	NMB0713	gene	apolipoprotein N-acyltransferase
NGFG_00433	NGFG_00433	gene	hypothetical protein			gene	hypothetical protein
NGFG_00435	NGFG_00435	gene	cell volume regulation potassium/proton antiporter		NMB0716	gene	hypothetical protein
NGFG_02280	NGFG_02280	gene	cytochrome c		NMB0717	gene	cytochrome c
NGFG_02281	NGFG_02281	gene	ferrochelatase		NMB0718	gene	ferrochelatase
NGFG_00439	NGFG_00439	gene	queuine tRNA-ribosyltransferase	tgt	NMB0719	gene	tRNA guanosine(34) transglycosylase Tgt
NGFG_06005	NGFG_06005	tRNA	tRNA-Val		NMBt23	tRNA	tRNA-Val
NGFG_00440	NGFG_00440	gene	threonyl-tRNA synthetase	thrS	NMB0720	gene	threonine--tRNA ligase
NGFG_00441	NGFG_00441	gene	translation initiation factor IF-3	infC	NMB0721	gene	translation initiation factor IF-3
NGFG_00442	NGFG_00442	gene	50S ribosomal protein L35	rpmI	NMB0722	gene	50S ribosomal protein L35
NGFG_00443	NGFG_00443	gene	50S ribosomal protein L20	rplT	NMB0723	gene	50S ribosomal protein L20
NGFG_00444	NGFG_00444	gene	phenylalanyl-tRNA synthetase alpha chain	pheS	NMB0724	gene	phenylalanine--tRNA ligase subunit alpha
NGFG_00445	NGFG_00445	gene	DNA mismatch endonuclease Vsr				
NGFG_00446	NGFG_00446	gene	DNA (cytosine-5-)-methyltransferase				
NGFG_00447	NGFG_00447	gene	hypothetical protein				
NGFG_00448	NGFG_00448	gene	restriction endonuclease				
NGFG_00449	NGFG_00449	gene	phenylalanyl-tRNA synthetase beta chain		NMB0728	gene	phenylalanine--tRNA ligase subunit beta
NGFG_00450	NGFG_00450	gene	integration host factor subunit alpha		NMB0729	gene	integration host factor subunit alpha
NGFG_00451	NGFG_00451	gene	hypothetical protein			gene	hypothetical protein
NGFG_00452	NGFG_00452	gene	FxsA-like membrane protein	fxsA	NMB0730	gene	membrane protein FxsA
NGFG_00453	NGFG_00453	gene	hypothetical protein		NMB0731	gene	hypothetical protein
NGFG_00454	NGFG_00454	gene	adenosylmethionine-8-amino-7-oxononanoate transaminase	bioA	NMB0732	gene	adenosylmethionine--8-amino-7-oxononanoate transaminase
NGFG_00455	NGFG_00455	gene	dethiobiotin synthetase	bioD	NMB0733	gene	ATP-dependent dethiobiotin synthetase BioD
NGFG_00456	NGFG_00456	gene	chorismate-pyruvate lyase		NMB0734	gene	chorismate lyase
NGFG_00458	NGFG_00458	gene	4-hydroxybenzoate octaprenyltransferase	ubiA	NMB0735	gene	4-hydroxybenzoate octaprenyltransferase
NGFG_00459	NGFG_00459	gene	PTS IIA-like nitrogen-regulatory protein PtsN	ptsN	NMB0736	gene	PTS IIA-like nitrogen regulatory protein PtsN
NGFG_00460	NGFG_00460	gene	HPr kinase/phosphorylase		NMB0737	gene	HPr kinase/phosphorylase
NGFG_00461	NGFG_00461	gene	UPF0042 nucleotide-binding protein	rapZ	NMB0738	gene	RNase adapter RapZ
NGFG_00462	NGFG_00462	gene	ribosome biogenesis GTP-binding protein YlqF	ylqF		pseudogene	ribosome biogenesis GTPase YlqF
NGFG_00463	NGFG_00463	gene	segregation and condensation protein B			pseudogene	SMC-Scp complex subunit ScpB
NGFG_00464	NGFG_00464	gene	DNA repair protein RecN	recN	NMB0740	gene	DNA repair protein RecN
NGFG_06006	NGFG_06006	tRNA	tRNA-Arg		NMBt24	tRNA	tRNA-Arg
NGFG_06007	NGFG_06007	tRNA	tRNA-Glu		NMBt25	tRNA	tRNA-Glu
NGFG_00466	NGFG_00466	gene	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC domain protein	mnmC	NMB0741	gene	FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC
NGFG_00467	NGFG_00467	gene	hypothetical protein		NMB0742	gene	DUF971 domain-containing protein
NGFG_00468	NGFG_00468	gene	ubiquinone/menaquinone biosynthesis methyltransferase ubiE	ubiE	NMB0743	gene	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE
NGFG_00469	NGFG_00469	gene	hypothetical protein		NMB0744	gene	pyridoxamine 5'-phosphate oxidase family protein
NGFG_00470	NGFG_00470	gene	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	NMB0745	gene	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
NGFG_00471	NGFG_00471	gene	SirB family regulatory protein		NMB0746	gene	SirB2 family protein
NGFG_00472	NGFG_00472	gene	hypothetical protein		NMB0747	gene	class I SAM-dependent methyltransferase
NGFG_00473	NGFG_00473	gene	hypothetical protein		NMB0747	gene	class I SAM-dependent methyltransferase
NGFG_00474	NGFG_00474	gene	RNA chaperone Hfq	hfq	NMB0748	gene	RNA chaperone Hfq
NGFG_00475	NGFG_00475	gene	D-alanyl-D-alanine endopeptidase (penicillin-binding protein 7)		NMB0749	gene	serine hydrolase
NGFG_00477	NGFG_00477	gene	bacterioferritin comigratory protein		NMB0750	gene	peroxiredoxin
NGFG_00478	NGFG_00478	gene	tyrosine recombinase xerD	xerD	NMB0751	gene	site-specific tyrosine recombinase XerD
NGFG_00479	NGFG_00479	gene	bacterioferritin-associated ferredoxin		NMB0752	gene	bacterioferritin-associated ferredoxin
NGFG_00480	NGFG_00480	gene	thioredoxin		NMB0753	gene	glutaredoxin family protein
NGFG_00482	NGFG_00482	gene	dTDP-4-dehydrorhamnose reductase	rfbD	NMB0756	pseudogene	dTDP-4-dehydrorhamnose reductase
NGFG_00483	NGFG_00483	gene	phosphoribosylaminoimidazole-succinocarboxamide synthase		NMB0757	gene	phosphoribosylaminoimidazolesuccinocarboxamide synthase
NGFG_02282	NGFG_02282	gene	polyribonucleotide nucleotidyltransferase	pnp	NMB0758	gene	polyribonucleotide nucleotidyltransferase
NGFG_00486	NGFG_00486	gene	hypothetical protein		NMB0759	gene	sulfite exporter TauE/SafE family protein
NGFG_00487	NGFG_00487	gene	lipoprotein			gene	hypothetical protein
NGFG_00488	NGFG_00488	gene	diaminopimelate epimerase	dapF	NMB0760	gene	diaminopimelate epimerase
NGFG_00489	NGFG_00489	gene	hypothetical protein			gene	hypothetical protein
NGFG_00490	NGFG_00490	gene	cysteine synthase	cysK	NMB0763	gene	cysteine synthase A
NGFG_00491	NGFG_00491	gene	amino acid metabolite efflux pump		NMB0764	gene	DMT family transporter
NGFG_00492	NGFG_00492	gene	hypothetical protein		NMB0764	gene	DMT family transporter
NGFG_00495	NGFG_00495	gene	signal peptidase I	lepB	NMB0765	gene	signal peptidase I
NGFG_00496	NGFG_00496	gene	GTP-binding protein LepA	lepA	NMB0766	gene	elongation factor 4
NGFG_00497	NGFG_00497	gene	MTA/SAH nucleosidase		NMB0767	gene	5'-methylthioadenosine/adenosylhomocysteine nucleosidase
NGFG_00498	NGFG_00498	gene	twitching motility protein		NMB0768	gene	PilT/PilU family type 4a pilus ATPase
NGFG_00499	NGFG_00499	gene	DNA polymerase III%2C delta' subunit		NMB0769	gene	DNA polymerase III subunit delta'
NGFG_00500	NGFG_00500	gene	type IV pilus assembly protein PilZ		NMB0770	gene	pilus assembly protein PilZ
NGFG_00501	NGFG_00501	gene	TatD family hydrolase		NMB0771	gene	TatD family hydrolase
NGFG_00502	NGFG_00502	gene	hypothetical protein		NMB0772	gene	DUF333 domain-containing protein
NGFG_00503	NGFG_00503	gene	Grx4 family monothiol glutaredoxin	grxD	NMB0773	gene	Grx4 family monothiol glutaredoxin
NGFG_02283	NGFG_02283	gene	hypothetical protein	upp	NMB0774	gene	uracil phosphoribosyltransferase
NGFG_00504	NGFG_00504	gene	uracil phosphoribosyltransferase	upp	NMB0774	gene	uracil phosphoribosyltransferase
NGFG_00505	NGFG_00505	gene	hypothetical protein		NMB0775	gene	DUF2322 family protein
NGFG_00506	NGFG_00506	gene	hypothetical protein				
NGFG_00507	NGFG_00507	gene	hypothetical protein				
NGFG_00508	NGFG_00508	gene	hypothetical protein				
NGFG_00509	NGFG_00509	gene	hypothetical protein		NMB0776	gene	hypothetical protein
NGFG_00510	NGFG_00510	gene	uroporphyrinogen-III synthase		NMB0777	gene	uroporphyrinogen-III synthase
NGFG_00511	NGFG_00511	gene	hypothetical protein		NMB0778	gene	uroporphyrinogen-III C-methyltransferase
NGFG_00512	NGFG_00512	gene	heme biosynthesis-associated protein HemY		NMB0779	gene	heme biosynthesis protein HemY
NGFG_00513	NGFG_00513	gene	uroporphyrinogen decarboxylase		NMB0781	gene	uroporphyrinogen decarboxylase
NGFG_00514	NGFG_00514	gene	stress-sensitive restriction system protein				
NGFG_00515	NGFG_00515	gene	restriction endonuclease				
NGFG_00516	NGFG_00516	gene	DNA-cytosine methyltransferase				
NGFG_00517	NGFG_00517	gene	hypothetical protein				
NGFG_00518	NGFG_00518	gene	DNA repair protein RadA	radA	NMB0782	gene	DNA repair protein RadA
NGFG_00519	NGFG_00519	gene	hypothetical protein		NMB0783	gene	DUF302 domain-containing protein
NGFG_00520	NGFG_00520	gene	phage shock protein E		NMB0784	gene	rhodanese-like domain-containing protein
NGFG_00521	NGFG_00521	gene	exodeoxyribonuclease V%2C beta subunit	recB	NMB0785	gene	exodeoxyribonuclease V subunit beta
NGFG_00522	NGFG_00522	gene	dyp-type peroxidase		NMB0786	gene	Dyp-type peroxidase
NGFG_00523	NGFG_00523	gene	amino acid ABC transporter substrate-binding protein		NMB0787	gene	amino acid ABC transporter substrate-binding protein
NGFG_00524	NGFG_00524	gene	His/Glu/Gln/Arg/opine family amino ABC transporter%2C permease%2C 3-TM region		NMB0788	gene	amino acid ABC transporter permease
NGFG_00525	NGFG_00525	gene	amino acid ABC transporter ATP-binding protein		NMB0789	gene	amino acid ABC transporter ATP-binding protein
NGFG_00526	NGFG_00526	gene	phosphoglucomutase		NMB0790	gene	phosphomannomutase/phosphoglucomutase
NGFG_00527	NGFG_00527	gene	peptidyl-prolyl cis-trans isomerase B		NMB0791	gene	peptidylprolyl isomerase
NGFG_00528	NGFG_00528	gene	divalent anion:Na+ symporter (DASS) family transporter		NMB0792	gene	SLC13 family permease
NGFG_00529	NGFG_00529	gene	hypothetical protein	vanZ	NMB0794	gene	VanZ family protein
NGFG_00530	NGFG_00530	gene	hypothetical protein			gene	dioxygenase
NGFG_00531	NGFG_00531	gene	peptidyl-tRNA hydrolase	pth	NMB0795	gene	aminoacyl-tRNA hydrolase
NGFG_00532	NGFG_00532	gene	protein rnfH		NMB0796	gene	RnfH family protein
NGFG_00533	NGFG_00533	gene	hypothetical protein		NMB0797	gene	type II toxin-antitoxin system RatA family toxin
NGFG_00534	NGFG_00534	gene	cell division protease FtsH		NMB0798	gene	ATP-dependent zinc metalloprotease FtsH
NGFG_00535	NGFG_00535	gene	ribosomal RNA large subunit methyltransferase E		NMB0799	gene	RlmE family RNA methyltransferase
NGFG_00536	NGFG_00536	gene	RNA-binding protein	yhbY	NMB0800	gene	ribosome assembly RNA-binding protein YhbY
NGFG_00537	NGFG_00537	gene	delta-aminolevulinic acid dehydratase	hemB	NMB0801	gene	porphobilinogen synthase
NGFG_00538	NGFG_00538	gene	cystathionine beta-lyase		NMB0802	gene	PLP-dependent transferase
NGFG_00539	NGFG_00539	gene	GTP cyclohydrolase folE2		NMB0803	gene	GTP cyclohydrolase I FolE2
NGFG_00541	NGFG_00541	gene	NAD(P)H-flavin oxidoreductase		NMB0804	gene	NAD(P)H-dependent oxidoreductase
NGFG_00542	NGFG_00542	gene	pseudouridine synthase		NMB0806	gene	rRNA pseudouridine synthase
NGFG_00543	NGFG_00543	gene	inorganic polyphosphate/ATP-NAD kinase PpnK		NMB0807	gene	NAD(+) kinase
NGFG_00544	NGFG_00544	gene	hypothetical protein		NMB0808	gene	SCP2 domain-containing protein
NGFG_00545	NGFG_00545	gene	hypothetical protein		NMB0809	gene	SDR family oxidoreductase
NGFG_00546	NGFG_00546	gene	TetR family transcriptional regulator		NMB0810	gene	TetR/AcrR family transcriptional regulator
NGFG_00547	NGFG_00547	gene	UDP-N-acetylenolpyruvoylglucosamine reductase	murB	NMB0811	gene	UDP-N-acetylmuramate dehydrogenase
NGFG_00548	NGFG_00548	gene	MATE efflux family protein	norM	NMB0812	gene	multidrug efflux MATE transporter NorM
NGFG_00550	NGFG_00550	gene	ATP phosphoribosyltransferase regulatory subunit		NMB0814	gene	ATP phosphoribosyltransferase regulatory subunit
NGFG_00551	NGFG_00551	gene	adenylosuccinate synthetase		NMB0815	gene	adenylosuccinate synthase
NGFG_02284	NGFG_02284	gene	heat shock protein HtpX	htpX	NMB0822	gene	protease HtpX
NGFG_00554	NGFG_00554	gene	adenylate kinase	adk	NMB0823	gene	adenylate kinase
NGFG_00555	NGFG_00555	gene	orotidine 5'-phosphate decarboxylase	pyrF	NMB0824	gene	orotidine-5'-phosphate decarboxylase
NGFG_00556	NGFG_00556	gene	RfaE%2C domain I	hldA	NMB0825	gene	ADP-heptose synthase
NGFG_00557	NGFG_00557	gene	ADP-L-glycero-D-manno-heptose-6-epimerase	rfaD	NMB0828	gene	ADP-glyceromanno-heptose 6-epimerase
NGFG_00558	NGFG_00558	gene	type I restriction enzyme EcoprrI M protein		NMB0829	gene	type I restriction-modification system subunit M
NGFG_00559	NGFG_00559	gene	DNA-damage-inducible protein D				
NGFG_00560	NGFG_00560	pseudogene				gene	restriction endonuclease subunit S
NGFG_00561	NGFG_00561	pseudogene			NMB0835	pseudogene	type I restriction endonuclease subunit R
NGFG_00562	NGFG_00562	gene	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA	NMB0836	gene	ATP-dependent Clp protease ATP-binding subunit ClpA
NGFG_00563	NGFG_00563	gene	ATP-dependent Clp protease adapter protein ClpS	clpS	NMB0837	gene	ATP-dependent Clp protease adapter ClpS
NGFG_00564	NGFG_00564	gene	cold shock-like protein CspA		NMB0838	gene	cold-shock protein
NGFG_00565	NGFG_00565	gene	PmbA protein	pmbA	NMB0839	gene	metalloprotease PmbA
NGFG_00566	NGFG_00566	gene	ribosome-associated protein		NMB0840	gene	ribosome-associated protein
NGFG_00567	NGFG_00567	gene	hypothetical protein		NMB0841	gene	hypothetical protein
NGFG_00568	NGFG_00568	gene	single-stranded-DNA-specific exonuclease RecJ	recJ	NMB0842	gene	single-stranded-DNA-specific exonuclease RecJ
NGFG_00569	NGFG_00569	gene	poly(A) polymerase		NMB0843	gene	polynucleotide adenylyltransferase PcnB
NGFG_00570	NGFG_00570	gene	hypothetical protein		NMB0844	gene	hypothetical protein
NGFG_00571	NGFG_00571	gene	phosphate starvation-inducible protein PhoH		NMB0845	gene	PhoH family protein
NGFG_00572	NGFG_00572	pseudogene				gene	glycosyltransferase
NGFG_00574	NGFG_00574	gene	hypothetical protein		NMB0848	gene	SIMPL domain-containing protein
NGFG_00575	NGFG_00575	gene	deoxycytidine triphosphate deaminase		NMB0849	gene	dCTP deaminase
NGFG_00576	NGFG_00576	gene	hypothetical protein		NMB0850	gene	hypothetical protein
NGFG_00577	NGFG_00577	gene	recombination-associated protein rdgC		NMB0851	gene	recombination-associated protein RdgC
NGFG_00578	NGFG_00578	gene	GTP-binding protein EngA		NMB0852	gene	ribosome biogenesis GTPase Der
NGFG_00579	NGFG_00579	pseudogene			NMB0853	gene	YfgM family protein
NGFG_00580	NGFG_00580	gene	histidyl-tRNA synthetase	hisS	NMB0854	gene	histidine--tRNA ligase
NGFG_02233	NGFG_02233	gene	peptidase		NMB0855	gene	C39 family peptidase
NGFG_02234	NGFG_02234	gene	hypothetical protein				
NGFG_00582	NGFG_00582	gene	hypothetical protein				
NGFG_00583	NGFG_00583	gene	hypothetical protein				
NGFG_00584	NGFG_00584	gene	hypothetical protein		NMB0866	gene	hypothetical protein
NGFG_00585	NGFG_00585	gene	tRNA pseudouridine32 synthase/23S rRNA pseudouridine746 synthase		NMB0867	gene	RluA family pseudouridine synthase
NGFG_00586	NGFG_00586	gene	hypothetical protein		NMB0868	gene	alpha/beta hydrolase
NGFG_00587	NGFG_00587	gene	spermidine synthase		NMB0869	gene	polyamine aminopropyltransferase
NGFG_06008	NGFG_06008	tRNA	tRNA-Thr		NMBt26	tRNA	tRNA-Thr
NGFG_00588	NGFG_00588	gene	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	NMB0870	gene	3-methyl-2-oxobutanoate hydroxymethyltransferase
NGFG_00590	NGFG_00590	gene	pantoate-beta-alanine ligase		NMB0871	gene	pantoate--beta-alanine ligase
NGFG_00591	NGFG_00591	gene	hypothetical protein		NMB0872	gene	tetratricopeptide repeat protein
NGFG_00592	NGFG_00592	gene	outer-membrane lipoprotein lolB		NMB0873	gene	outer membrane lipoprotein LolB
NGFG_00593	NGFG_00593	gene	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE	NMB0874	gene	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
NGFG_06009	NGFG_06009	tRNA	tRNA-Gln		NMBt28	tRNA	tRNA-Gln
NGFG_06010	NGFG_06010	tRNA	tRNA-Gln		NMBt28	tRNA	tRNA-Gln
NGFG_00594	NGFG_00594	gene	ribose-phosphate pyrophosphokinase		NMB0875	gene	ribose-phosphate pyrophosphokinase
NGFG_00595	NGFG_00595	gene	50S ribosomal protein L25		NMB0876	gene	50S ribosomal protein L25/general stress protein Ctc
NGFG_00596	NGFG_00596	gene	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)		NMB0877	gene	D-alanyl-D-alanine carboxypeptidase
NGFG_00597	NGFG_00597	gene	threonine ammonia-lyase%2C biosynthetic	ilvA	NMB0878	gene	threonine ammonia-lyase%2C biosynthetic
NGFG_00598	NGFG_00598	gene	sulfate/thiosulfate import ATP-binding protein CysA		NMB0879	gene	sulfate/molybdate ABC transporter ATP-binding protein
NGFG_00599	NGFG_00599	gene	sulfate ABC transporter%2C permease CysW	cysW	NMB0880	gene	sulfate ABC transporter permease subunit CysW
NGFG_00600	NGFG_00600	gene	sulfate ABC transporter%2C permease CysT	cysT	NMB0881	gene	sulfate ABC transporter permease subunit CysT
NGFG_00601	NGFG_00601	gene	hypothetical protein		NMB0882	gene	hypothetical protein
NGFG_00602	NGFG_00602	gene	isoprenylcysteine carboxyl methyltransferase		NMB0883	gene	isoprenylcysteine carboxyl methyltransferase family protein
